tot	trigstat	muidstat	isostat	trigsyst	muidsyst	isosyst	muidbinned	isobinned	PU	STA
0.0318302	0.000614822	0.0029522	0.0291205	0.00452814	0.00230236	0.00482655	0.00255277	0.00727242	0.0034	0.006
0.0369451	0.000751742	0.00299578	0.0338735	0.00531857	0.00217175	0.00404139	0.00318714	0.0100467	0.0034	0.006
0.0334361	0.000576213	0.0031647	0.0297962	0.00407165	0.00230925	0.00530687	0.002409	0.0107875	0.0034	0.006
0.0242121	0.000310153	0.00298352	0.0191066	0.00204152	0.00233198	0.00729169	0.00181226	0.00992716	0.0034	0.006
0.0164416	0.000215381	0.00252377	0.0108127	0.00131084	0.00211518	0.00735935	0.00133867	0.00610673	0.0034	0.006
0.0115012	0.000155209	0.00200522	0.00510516	0.00082982	0.00178733	0.00677591	0.000649234	0.00209562	0.0034	0.006
0.0106234	0.000145252	0.00207273	0.00353207	0.000735689	0.00177857	0.00662253	0.000643982	0.000725496	0.0034	0.006
0.0107801	0.000155764	0.00244809	0.00352404	0.000781407	0.00188366	0.00670807	0.000725228	0.000728692	0.0034	0.006
0.0103266	0.000152396	0.00266166	0.00326701	0.000760104	0.00172145	0.0059664	0.000897787	0.00116338	0.0034	0.006
0.0101747	0.000144672	0.00316344	0.00337806	0.000725396	0.00147953	0.00487566	0.00177367	0.00221183	0.0034	0.006
0.010996	0.000138827	0.00432081	0.00436546	0.00070887	0.00104297	0.00350833	0.00262289	0.00385068	0.0034	0.006
0.0128305	0.000127935	0.00700559	0.00626072	0.000670389	0.00114042	0.00177846	0.00167539	0.00458802	0.0034	0.006
0.0180604	0.000121723	0.0140219	0.00777122	0.000659665	0.00374145	0.000424163	0.000292515	0.00262613	0.0034	0.006
										
0.0117348	0.000138584	0.00245253	0.00429792	0.000674966	0.00200846	0.00752483	0.000404229	0.00208892	0.0034	0.006
0.011716	0.00014293	0.00244986	0.00427996	0.000695694	0.00201998	0.00749646	0.000538538	0.00207697	0.0034	0.006
0.0115783	0.000148575	0.00241399	0.00417711	0.000720644	0.00200467	0.00737762	0.000632222	0.0019578	0.0034	0.006
0.0114554	0.000150798	0.00239796	0.00410624	0.00072981	0.00199865	0.007248	0.000703267	0.00186451	0.0034	0.006
0.011308	0.000151693	0.0023611	0.00395992	0.000734349	0.00197095	0.00713577	0.000697708	0.00178948	0.0034	0.006
0.0112122	0.000151791	0.00235312	0.00388796	0.000743512	0.00196843	0.00708863	0.000644841	0.00154409	0.0034	0.006
0.0110173	0.000157956	0.00233281	0.00377239	0.000760664	0.00194478	0.00689061	0.000599504	0.00138675	0.0034	0.006
0.0109346	0.000156548	0.00231658	0.0036648	0.000768517	0.00192711	0.00685947	0.000560305	0.0012297	0.0034	0.006
0.010841	0.000156232	0.00231697	0.00357342	0.000776497	0.00192811	0.00679871	0.000585608	0.000958618	0.0034	0.006
0.010772	0.000158059	0.00229985	0.00349167	0.000777454	0.00189914	0.00677169	0.000657062	0.000686374	0.0034	0.006
0.0105724	0.000157295	0.00229052	0.00337063	0.000796806	0.00188549	0.00653195	0.000817672	0.000241174	0.0034	0.006
0.0104823	0.000164039	0.00229365	0.00336623	0.000834537	0.00185595	0.0063192	0.00114667	0.000557475	0.0034	0.006
0.0106768	0.000164742	0.00233545	0.00354859	0.00086227	0.00183438	0.00621011	0.00168791	0.00168406	0.0034	0.006
0.0111705	0.000159803	0.00242212	0.00392349	0.000856914	0.00181567	0.00625534	0.00227603	0.00275562	0.0034	0.006
0.0112701	0.00016059	0.00248147	0.00427838	0.000865706	0.00175814	0.00587203	0.00255555	0.00318046	0.0034	0.006
0.0116187	0.00015647	0.00261308	0.00456288	0.000861555	0.00171888	0.00588522	0.00265948	0.00378881	0.0034	0.006
0.0118001	0.000167456	0.00288384	0.00532241	0.000946391	0.00168479	0.00562702	0.0018511	0.00402315	0.0034	0.006
0.0119875	0.000163435	0.00331967	0.0059832	0.000918125	0.00172268	0.00527739	0.000974858	0.0040844	0.0034	0.006
0.0124743	0.000166319	0.00406194	0.00664469	0.000952865	0.00183956	0.00490607	0.00103395	0.00423536	0.0034	0.006
0.0128522	0.000178275	0.00522762	0.00721233	0.00106991	0.0020946	0.00413015	0.00114232	0.00378774	0.0034	0.006
0.0144935	0.000190437	0.00817422	0.00775652	0.00112767	0.00316183	0.00325598	0.00120696	0.00348653	0.0034	0.006
										
0.0111433	0.000150423	0.00235413	0.00383905	0.000730524	0.00192452	0.00704628	0.000552677	0.00145539	0.0034	0.006
0.0111095	0.000150096	0.00236084	0.00381907	0.000731976	0.0019387	0.0069929	0.000555512	0.00147497	0.0034	0.006
0.0110541	0.000148981	0.00234714	0.00375459	0.000737755	0.00193299	0.0069813	0.000582227	0.00128291	0.0034	0.006
0.0109641	0.000150943	0.00233805	0.00367719	0.000748359	0.00193071	0.00690846	0.000604479	0.00112277	0.0034	0.006
