Acc Eff (stat, down)
-2.87, -2.6, 0.0146026
-2.6, -2.4, 0.00858292
-2.4, -2.2, 0.00626419
-2.2, -1.93, 0.00348311
-1.93, -1.8, 0.00371305
-1.8, -1.6, 0.00239713
-1.6, -1.4, 0.0018093
-1.4, -1.2, 0.00119691
-1.2, -1, 0.00156955
-1, -0.8, 0.0011128
-0.8, -0.6, 0.000764082
-0.6, -0.4, 0.00117626
-0.4, -0.2, 0.00100842
-0.2, 0, 0.00115577
0, 0.2, 0.00125799
0.2, 0.4, 0.00138116
0.4, 0.6, 0.00127431
0.6, 0.8, 0.00202869
0.8, 1, 0.00161418
1, 1.2, 0.00374276
1.2, 1.4, 0.00527985
1.4, 1.6, 0.00760345
1.6, 1.8, 0.0115404
1.8, 1.93, 0.0438037
