Acc Eff (stat, up)
-2.87, -2.6, 0.0146602
-2.6, -2.4, 0.00851679
-2.4, -2.2, 0.00593945
-2.2, -1.93, 0.0034856
-1.93, -1.8, 0.0037404
-1.8, -1.6, 0.00248081
-1.6, -1.4, 0.00179712
-1.4, -1.2, 0.00115448
-1.2, -1, 0.0014944
-1, -0.8, 0.00140684
-0.8, -0.6, 0.00079555
-0.6, -0.4, 0.0012814
-0.4, -0.2, 0.000740673
-0.2, 0, 0.00138571
0, 0.2, 0.00130877
0.2, 0.4, 0.0014179
0.4, 0.6, 0.002
0.6, 0.8, 0.00193416
0.8, 1, 0.00171346
1, 1.2, 0.00377253
1.2, 1.4, 0.00519377
1.4, 1.6, 0.00819096
1.6, 1.8, 0.0116936
1.8, 1.93, 0.06515
