Acc Eff (stat, up)
0, 1, 0.0199004
1, 2, 0.0122453
2, 3, 0.013202
3, 4, 0.0117495
4, 5, 0.0119344
5, 6, 0.012206
6, 7, 0.0121133
7, 8, 0.0122039
8, 9, 0.0119944
9, 10, 0.0126781
10, 11, 0.0176344
11, 12, 0.0316421
12, 13, 0.0146026
13, 14, 0.00858292
14, 15, 0.00626419
15, 16, 0.00348311
16, 17, 0.00371305
17, 18, 0.00239713
18, 19, 0.0018093
19, 20, 0.00119691
20, 21, 0.00156955
21, 22, 0.0011128
22, 23, 0.000764082
23, 24, 0.00117626
24, 25, 0.00100842
25, 26, 0.00115577
26, 27, 0.00125799
27, 28, 0.00138116
28, 29, 0.00127431
29, 30, 0.00202869
30, 31, 0.00161418
31, 32, 0.00374276
32, 33, 0.00527985
33, 34, 0.00760345
34, 35, 0.0115404
35, 36, 0.0438037
