Acc Eff (stat, down)
-2.87, -2.6, 0.00453714
-2.6, -2.4, 0.00311229
-2.4, -2.2, 0.00223866
-2.2, -1.93, 0.0016473
-1.93, -1.8, 0.00225689
-1.8, -1.6, 0.00183195
-1.6, -1.4, 0.00191466
-1.4, -1.2, 0.00194131
-1.2, -1, 0.00198497
-1, -0.8, 0.00204761
-0.8, -0.6, 0.00205046
-0.6, -0.4, 0.00215527
-0.4, -0.2, 0.00209392
-0.2, 0, 0.00210336
0, 0.2, 0.00210758
0.2, 0.4, 0.00211686
0.4, 0.6, 0.00201912
0.6, 0.8, 0.00202665
0.8, 1, 0.0020918
1, 1.2, 0.00210704
1.2, 1.4, 0.00234871
1.4, 1.6, 0.00328273
1.6, 1.8, 0.00442057
1.8, 1.93, 0.0176013
